id,earnings_weekly,trip_count_monthly,avg_rating_last_90_days,job_type,gender,age,cancellation_rate,zone,rent_paid_last_12_months,utility_paid_last_12,app_logins_last_30_days,complaints_last_6_months,outstanding_loans
043210bf-11a7-485b-9be2-b5e601d9c844,653.15,22,4.55,Delivery Bike,Female,44,0.118,Urban North,6,5,55,0,64
85cb900c-f58c-4b44-b574-0017bd21c397,1888.71,18,3.478,Taxi Driver,Female,36,0.026,Urban East,5,6,32,0,572
25cda8bc-f41f-4cbc-8bbc-b66546462248,583.9,47,3.388,Package Delivery Driver,Male,35,0.08,Rural East,5,2,37,3,786
973dab5c-6f08-4c5f-bb9a-1b13c23bc4e7,718.02,95,3.565,"",Bigender,45,0.14,Rural North,0,8,8,1,13
31a6b2bf-9a1d-44a4-bf09-c7c8ca58ffcf,1807.82,73,2.943,"",Female,39,0.042,Rural East,7,12,37,8,109
c080a0a2-9cd5-4a22-ab9f-5fdf27b5fdbe,682.17,139,4.809,Taxi Driver,Female,24,0.021,Urban East,0,6,16,1,956
689c0622-d547-406b-8b06-8782b9de232e,1416.14,20,2.825,Food Delivery,Polygender,50,0.188,Urban South,6,0,14,9,988
0c2791c5-abc8-4294-a3ca-e37a3dd8527a,1781.84,15,4.877,Delivery Car,Female,36,0.079,Rural South,2,6,7,10,38
e0d590bc-a347-4b04-9441-d650d21f17e7,1467.26,54,2.868,Delivery Bike,Female,27,0.09,Urban West,10,11,36,5,169
ea01b75e-6231-4c4c-a6bb-491708936481,1619.53,21,2.013,Delivery Car,Genderfluid,44,0.037,Rural North,0,11,24,7,955
9fc1f07f-d09f-4116-8e07-d11ff7678287,526.74,61,3.361,Graphic Designer,Female,38,0.052,Urban East,11,3,24,1,358
59aeaef7-f6a7-4ae3-93df-92b3e3e3ca18,1383.05,101,2.848,Ride-Hail,Female,37,0.155,Rural West,9,5,26,3,990
9c8a9c52-6a3d-4c3d-b5e1-ddbd486401c7,1791.52,83,3.575,Delivery Car,Female,23,0.094,Rural East,7,9,57,5,334
47f4403c-3e5d-4944-9ac7-db7c80f2e46b,933.02,23,3.9,Package Delivery Driver,Male,46,0.063,Urban East,8,12,8,3,33
5563bfc1-cc42-4012-b8e5-341ea2fab4a4,925.58,132,2.121,Delivery Bike,Female,30,0.086,Rural East,6,9,19,9,119
8cae28cf-6570-427b-9ffb-b1820ce2ab4c,1353.92,55,2.131,Graphic Designer,Female,21,0.089,Rural West,1,6,2,8,255
8ee483c9-b580-45c8-b8c6-339e4b361391,673.35,139,4.669,Graphic Designer,Female,27,0.027,Urban North,2,11,6,4,133
b1a0842e-4123-4b59-b9d2-34a9f8018bf7,1455.97,20,2.635,"",Female,35,0.099,Rural South,12,2,44,7,978
b73d5e82-6be8-40ad-b8d5-f525ecbf90cd,1408.17,68,2.506,Food Delivery,Female,24,0.045,Rural North,8,0,24,8,178
59d61069-26d4-43e7-8613-e55ed426e343,1515.97,133,3.544,"",Female,45,0.165,Urban East,11,0,56,0,561
673277bd-9cb0-4a97-b226-11c7fa6919ff,1674.73,68,4.87,Package Delivery Driver,Female,23,0.011,Rural South,7,4,19,6,476
2f5e6064-f346-407f-9f85-d769ac41f46e,1267.02,95,4.59,Ride-Hail,Bigender,43,0.056,Urban North,11,11,14,9,68
a6fa541b-1fca-4769-a1bf-5d6c997301d8,1929.01,90,4.426,Food Delivery,Female,27,0.05,Rural East,0,12,51,2,832
a9c201bd-957c-4df8-a035-40d667f6905f,1994.66,39,4.836,Graphic Designer,Male,33,0.137,Rural East,8,2,51,1,370
edeea157-9fa9-4b1c-b7a2-3734bfd93721,706.3,69,4.437,"",Female,22,0.092,Urban North,7,9,35,4,949
4bb44d41-3b2e-4edf-9c05-85ac5f7e0b32,1394.42,114,2.057,Graphic Designer,Male,25,0.095,Urban East,4,12,14,0,212
a3157646-a498-4f35-82dc-bb1d2cf04596,1558.55,92,2.983,"",Female,38,0.114,Rural West,12,12,40,10,276
6efe4480-6358-44c5-aab4-1d2035ba3298,1904.94,60,2.076,Graphic Designer,Male,39,0.041,Urban North,3,4,31,0,699
639e4048-d8d8-4769-a742-9980d18ec0e2,1244.34,79,4.808,Graphic Designer,Male,45,0.096,Urban West,2,12,7,8,421
775f125d-7522-4c0e-9168-9ac135cd3468,806.34,82,3.681,Taxi Driver,Male,48,0.053,Urban South,2,0,39,6,44
