partner_id,earnings_weekly,trip_count_monthly,avg_rating_last_90_days,cancellation_rate,zone,job_type,age,gender,rent_paid_last_12_months,utility_paid_last_12,app_logins_last_30_days,complaints_last_6_months,outstanding_loans
GIG0,7995.0,123,4.96,0.014198479324690037,Urban,Ride-sharing,58,Female,9,12,32,0,63162.41749171463
GIG1,7328.880000000001,116,4.41,0.21300370395735785,Urban,Delivery,46,Female,9,12,41,0,62527.00317257503
GIG2,4050.0,125,4.9,0.04499090142766279,Rural,Delivery,27,Male,11,10,28,0,43355.157250952594
GIG3,6642.0,123,5.0,0.016433125835861394,Semi-Urban,Ride-sharing,59,Female,10,11,33,0,52100.17054947713
GIG4,3880.8,98,4.84,0.05157617318104447,Semi-Urban,Delivery,47,Female,12,11,34,0,30867.269804450243
GIG5,6652.1,119,4.77,0.26621651430927634,Urban,Ride-sharing,28,Female,11,9,20,0,57793.81058851037
GIG6,8481.258511023429,114,4.86,0.17429078230404046,Urban,Freelancer,47,Male,10,9,30,0,83875.69448314587
GIG7,5644.8,112,4.79,0.070118875605998,Semi-Urban,Delivery,51,Male,8,9,25,0,50872.514072575104
GIG8,8866.0,124,4.92,0.1611386277533802,Urban,Ride-sharing,36,Female,10,12,27,0,68247.19949910489
GIG9,7233.3,141,4.47,0.20879022630848115,Semi-Urban,Delivery,26,Male,9,12,31,0,59165.81397124212
GIG10,5773.3650145244865,133,4.83,0.15463611170085942,Semi-Urban,Freelancer,28,Male,9,10,33,0,53707.56529457708
GIG11,9080.5,127,4.71,0.22463553395815022,Urban,Ride-sharing,40,Male,12,11,38,0,86316.1107953087
GIG12,5846.400000000001,116,4.79,0.10069152612969087,Semi-Urban,Delivery,52,Male,12,9,24,0,40064.18251026918
GIG13,8808.800000000001,121,5.0,0.019652785079750944,Urban,Ride-sharing,22,Male,9,11,29,0,64554.071892727916
GIG14,4540.943294018168,115,4.75,0.17287268750207446,Semi-Urban,Freelancer,27,Female,9,10,13,0,41420.528479199
GIG15,8641.840298574294,119,4.93,0.08181939729815418,Urban,Freelancer,52,Female,9,11,26,0,101453.53110584404
GIG16,6653.790000000001,121,4.44,0.05617391396547449,Urban,Delivery,20,Male,12,10,34,0,49830.298329410296
GIG17,4738.0,103,4.99,0.052522833333486854,Semi-Urban,Ride-sharing,49,Female,12,12,17,0,43719.8187607748
GIG18,5899.671967998026,124,5.0,0.06430055011398293,Semi-Urban,Freelancer,24,Female,10,9,24,0,58194.77548783913
GIG19,5745.6,112,4.67,0.10801516020635507,Semi-Urban,Delivery,27,Male,8,12,24,0,45860.29203017926
GIG20,7257.188705766886,122,5.0,0.09568836959360938,Semi-Urban,Freelancer,37,Male,8,10,27,0,78023.0348232375
GIG21,6962.0,118,4.71,0.07816328075783699,Semi-Urban,Ride-sharing,50,Female,12,9,30,0,60571.59866708876
GIG22,7415.2,124,5.0,0.10378021230662834,Urban,Ride-sharing,30,Male,9,9,30,0,60771.01405768563
GIG23,5684.0,116,5.0,0.08960817436781715,Semi-Urban,Ride-sharing,23,Male,11,10,19,0,51827.691129904575
GIG24,5908.5,101,4.6,0.16218177178751356,Urban,Ride-sharing,32,Male,12,11,39,0,43758.932787362
GIG25,6380.598257629622,94,4.71,0.06716715745519637,Semi-Urban,Freelancer,20,Female,9,12,28,0,68579.63572189961
GIG26,4293.0,106,4.23,0.23551843876369477,Semi-Urban,Delivery,52,Male,9,11,17,0,35821.387622115915
GIG27,2696.837705236723,119,4.54,0.03688740874030818,Rural,Freelancer,44,Female,10,9,31,0,23120.903328410554
GIG28,3640.8,111,5.0,0.05734642937052026,Rural,Ride-sharing,28,Male,10,11,27,1,31572.128331237822
GIG29,4510.0,110,3.8,0.45702193595022894,Semi-Urban,Ride-sharing,42,Female,9,12,31,1,37180.3716440181
GIG30,8840.966158055708,120,5.0,0.011504146765998096,Urban,Freelancer,36,Female,10,11,23,0,94328.93664340887
GIG31,6555.46754398746,120,5.0,0.05798873726875167,Urban,Freelancer,59,Female,8,9,29,0,80947.57582142611
GIG32,8580.0,120,4.95,0.08611571471407238,Urban,Ride-sharing,28,Male,12,12,25,0,61064.04468900724
GIG33,6573.06,106,4.77,0.2797291558755046,Urban,Delivery,43,Female,12,12,25,0,53675.59366265548
GIG34,6642.0,123,4.6,0.22141795957470456,Semi-Urban,Ride-sharing,23,Male,11,10,32,0,55618.890794823994
GIG35,8299.2,133,4.77,0.07566421479147946,Urban,Ride-sharing,41,Male,11,11,36,0,65969.05583752085
GIG36,4992.3,129,4.82,0.24088158323277917,Semi-Urban,Delivery,21,Male,12,10,23,0,43927.08157289318
GIG37,7393.1,121,5.0,0.053466628889862644,Urban,Ride-sharing,52,Male,10,10,22,0,71314.04039201209
GIG38,3925.4400000000005,116,4.87,0.12290477918947673,Rural,Delivery,33,Female,9,10,28,0,33599.75835257668
GIG39,7007.308841992451,124,4.84,0.054936006859615694,Semi-Urban,Freelancer,59,Male,10,11,34,0,62927.90012600435
GIG40,5080.0,127,4.55,0.11999984825224194,Semi-Urban,Ride-sharing,48,Male,11,9,23,0,38089.918005726264
GIG41,6978.400000000001,122,4.76,0.04396885802712698,Urban,Ride-sharing,24,Male,9,9,26,0,56890.4788119151
GIG42,5400.0,125,4.66,0.2680488179868312,Semi-Urban,Delivery,55,Female,12,10,36,1,42571.06539950176
GIG43,6864.0,110,5.0,0.11068256801436252,Urban,Ride-sharing,59,Female,10,9,31,1,40988.8217760895
GIG44,6669.0,114,5.0,0.03839244897675792,Urban,Delivery,43,Male,12,12,30,0,52529.32170975152
GIG45,5890.5,119,5.0,0.05664477806673281,Semi-Urban,Delivery,42,Male,9,10,31,0,52581.53425961231
GIG46,4896.0,136,4.58,0.13699530545562272,Semi-Urban,Delivery,48,Male,12,12,22,0,33522.74114391385
GIG47,6638.359988588932,143,5.0,0.01344327840266075,Semi-Urban,Freelancer,52,Male,9,11,31,0,63732.9587224684
GIG48,8801.499955867097,130,4.89,0.13562298650415336,Urban,Freelancer,57,Female,8,10,32,0,102070.59169355509
GIG49,6942.78,138,5.0,0.05578442514197938,Urban,Delivery,48,Male,12,11,38,0,57113.258664752255
